
[Flag.5.2]

Name,Value,Extent,FlagTreatAs,TakeBit,Manipulate,Access,Sim,OnWrite,HasSP,Label,Desc,Class,FormType,Format / On,Format / Off,ColType,Color / On,Color / Off,Event1 / Mode,Event2 / Mode,Trigger1 / Mode,Trigger2 / Mode,Sec / Access,Sec / Logging
Alarm_Table_0_10,[PLC1.Alarm_Table[0]],0,Bit Array Little-Endian,Bit 10,None,Read Only,,,No,Alarm_Table[0].10,A00.10 Tower 10 Light Side Alarm,,Two-State,,,Two-State,Red on Black,Lime on Black,Disabled,Disabled,Disabled,Disabled,Default for Object,Default for Object
Alarm_Table_0_11,[PLC1.Alarm_Table[0]],0,Bit Array Little-Endian,Bit 11,None,Read Only,,,No,Alarm_Table[0].11,A00.11 Tower 11 Light Side Alarm,,Two-State,,,Two-State,Red on Black,Lime on Black,Disabled,Disabled,Disabled,Disabled,Default for Object,Default for Object
Alarm_Table_0_12,[PLC1.Alarm_Table[0]],0,Bit Array Little-Endian,Bit 12,None,Read Only,,,No,Alarm_Table[0].12,A00.12 Tower 12 Light Side Alarm,,Two-State,,,Two-State,Red on Black,Lime on Black,Disabled,Disabled,Disabled,Disabled,Default for Object,Default for Object
Alarm_Table_0_13,[PLC1.Alarm_Table[0]],0,Bit Array Little-Endian,Bit 13,None,Read Only,,,No,Alarm_Table[0].13,A00.13 Tower 13 Light Side Alarm,,Two-State,,,Two-State,Red on Black,Lime on Black,Disabled,Disabled,Disabled,Disabled,Default for Object,Default for Object
Alarm_Table_0_14,[PLC1.Alarm_Table[0]],0,Bit Array Little-Endian,Bit 14,None,Read Only,,,No,Alarm_Table[0].14,A00.14 Tower 14 Light Side Alarm,,Two-State,,,Two-State,Red on Black,Lime on Black,Disabled,Disabled,Disabled,Disabled,Default for Object,Default for Object
Alarm_Table_0_15,[PLC1.Alarm_Table[0]],0,Bit Array Little-Endian,Bit 15,None,Read Only,,,No,Alarm_Table[0].15,A00.15 Tower 15 Light Side Alarm,,Two-State,,,Two-State,Red on Black,Lime on Black,Disabled,Disabled,Disabled,Disabled,Default for Object,Default for Object
Alarm_Table_0_16,[PLC1.Alarm_Table[0]],0,Bit Array Little-Endian,Bit 16,None,Read Only,,,No,Alarm_Table[0].16,A00.16 Tower 16 Light Side Alarm,,Two-State,,,Two-State,Red on Black,Lime on Black,Disabled,Disabled,Disabled,Disabled,Default for Object,Default for Object
Alarm_Table_0_17,[PLC1.Alarm_Table[0]],0,Bit Array Little-Endian,Bit 17,None,Read Only,,,No,Alarm_Table[0].17,A00.17 Tower 17 Light Side Alarm,,Two-State,,,Two-State,Red on Black,Lime on Black,Disabled,Disabled,Disabled,Disabled,Default for Object,Default for Object
Alarm_Table_0_18,[PLC1.Alarm_Table[0]],0,Bit Array Little-Endian,Bit 18,None,Read Only,,,No,Alarm_Table[0].18,A00.18 Tower 18 Light Side Alarm,,Two-State,,,Two-State,Red on Black,Lime on Black,Disabled,Disabled,Disabled,Disabled,Default for Object,Default for Object
Alarm_Table_0_19,[PLC1.Alarm_Table[0]],0,Bit Array Little-Endian,Bit 19,None,Read Only,,,No,Alarm_Table[0].19,A00.19 Tower 19 Light Side Alarm,,Two-State,,,Two-State,Red on Black,Lime on Black,Disabled,Disabled,Disabled,Disabled,Default for Object,Default for Object
Alarm_Table_0_20,[PLC1.Alarm_Table[0]],0,Bit Array Little-Endian,Bit 20,None,Read Only,,,No,Alarm_Table[0].20,A00.20 Tower 20 Light Side Alarm,,Two-State,,,Two-State,Red on Black,Lime on Black,Disabled,Disabled,Disabled,Disabled,Default for Object,Default for Object
Alarm_Table_0_21,[PLC1.Alarm_Table[0]],0,Bit Array Little-Endian,Bit 21,None,Read Only,,,No,Alarm_Table[0].21,A00.21 Drive Guide Sheave Light Side Alarm,,Two-State,,,Two-State,Red on Black,Lime on Black,Disabled,Disabled,Disabled,Disabled,Default for Object,Default for Object
Alarm_Table_0_22,[PLC1.Alarm_Table[0]],0,Bit Array Little-Endian,Bit 22,None,Read Only,,,No,Alarm_Table[0].22,A00.22,,Two-State,,,Two-State,Red on Black,Lime on Black,Disabled,Disabled,Disabled,Disabled,Default for Object,Default for Object
Alarm_Table_0_23,[PLC1.Alarm_Table[0]],0,Bit Array Little-Endian,Bit 23,None,Read Only,,,No,Alarm_Table[0].23,A00.23,,Two-State,,,Two-State,Red on Black,Lime on Black,Disabled,Disabled,Disabled,Disabled,Default for Object,Default for Object
Alarm_Table_0_24,[PLC1.Alarm_Table[0]],0,Bit Array Little-Endian,Bit 24,None,Read Only,,,No,Alarm_Table[0].24,A00.24,,Two-State,,,Two-State,Red on Black,Lime on Black,Disabled,Disabled,Disabled,Disabled,Default for Object,Default for Object
Alarm_Table_0_25,[PLC1.Alarm_Table[0]],0,Bit Array Little-Endian,Bit 25,None,Read Only,,,No,Alarm_Table[0].25,A00.25,,Two-State,,,Two-State,Red on Black,Lime on Black,Disabled,Disabled,Disabled,Disabled,Default for Object,Default for Object
Alarm_Table_0_26,[PLC1.Alarm_Table[0]],0,Bit Array Little-Endian,Bit 26,None,Read Only,,,No,Alarm_Table[0].26,A00.26,,Two-State,,,Two-State,Red on Black,Lime on Black,Disabled,Disabled,Disabled,Disabled,Default for Object,Default for Object
Alarm_Table_0_27,[PLC1.Alarm_Table[0]],0,Bit Array Little-Endian,Bit 27,None,Read Only,,,No,Alarm_Table[0].27,A00.27,,Two-State,,,Two-State,Red on Black,Lime on Black,Disabled,Disabled,Disabled,Disabled,Default for Object,Default for Object
Alarm_Table_0_28,[PLC1.Alarm_Table[0]],0,Bit Array Little-Endian,Bit 28,None,Read Only,,,No,Alarm_Table[0].28,A00.28,,Two-State,,,Two-State,Red on Black,Lime on Black,Disabled,Disabled,Disabled,Disabled,Default for Object,Default for Object
Alarm_Table_0_29,[PLC1.Alarm_Table[0]],0,Bit Array Little-Endian,Bit 29,None,Read Only,,,No,Alarm_Table[0].29,A00.29,,Two-State,,,Two-State,Red on Black,Lime on Black,Disabled,Disabled,Disabled,Disabled,Default for Object,Default for Object
Alarm_Table_0_30,[PLC1.Alarm_Table[0]],0,Bit Array Little-Endian,Bit 30,None,Read Only,,,No,Alarm_Table[0].30,A00.30,,Two-State,,,Two-State,Red on Black,Lime on Black,Disabled,Disabled,Disabled,Disabled,Default for Object,Default for Object
Alarm_Table_0_31,[PLC1.Alarm_Table[0]],0,Bit Array Little-Endian,Bit 31,None,Read Only,,,No,Alarm_Table[0].31,A00.31,,Two-State,,,Two-State,Red on Black,Lime on Black,Disabled,Disabled,Disabled,Disabled,Default for Object,Default for Object
Alarm_Table_1_0,[PLC1.Alarm_Table[1]],0,Bit Array Little-Endian,Bit 0,None,Read Only,,,No,Alarm_Table[1].0,A01.00,,Two-State,,,Two-State,Red on Black,Lime on Black,Disabled,Disabled,Disabled,Disabled,Default for Object,Default for Object
Alarm_Table_1_1,[PLC1.Alarm_Table[1]],0,Bit Array Little-Endian,Bit 1,None,Read Only,,,No,Alarm_Table[1].1,A01.01,,Two-State,,,Two-State,Red on Black,Lime on Black,Disabled,Disabled,Disabled,Disabled,Default for Object,Default for Object
Alarm_Table_1_2,[PLC1.Alarm_Table[1]],0,Bit Array Little-Endian,Bit 2,None,Read Only,,,No,Alarm_Table[1].2,A01.02,,Two-State,,,Two-State,Red on Black,Lime on Black,Disabled,Disabled,Disabled,Disabled,Default for Object,Default for Object
Alarm_Table_1_3,[PLC1.Alarm_Table[1]],0,Bit Array Little-Endian,Bit 3,None,Read Only,,,No,Alarm_Table[1].3,A01.03,,Two-State,,,Two-State,Red on Black,Lime on Black,Disabled,Disabled,Disabled,Disabled,Default for Object,Default for Object
Alarm_Table_1_4,[PLC1.Alarm_Table[1]],0,Bit Array Little-Endian,Bit 4,None,Read Only,,,No,Alarm_Table[1].4,A01.04,,Two-State,,,Two-State,Red on Black,Lime on Black,Disabled,Disabled,Disabled,Disabled,Default for Object,Default for Object
Alarm_Table_1_5,[PLC1.Alarm_Table[1]],0,Bit Array Little-Endian,Bit 5,None,Read Only,,,No,Alarm_Table[1].5,A01.05,,Two-State,,,Two-State,Red on Black,Lime on Black,Disabled,Disabled,Disabled,Disabled,Default for Object,Default for Object
Alarm_Table_1_6,[PLC1.Alarm_Table[1]],0,Bit Array Little-Endian,Bit 6,None,Read Only,,,No,Alarm_Table[1].6,A01.06,,Two-State,,,Two-State,Red on Black,Lime on Black,Disabled,Disabled,Disabled,Disabled,Default for Object,Default for Object
Alarm_Table_1_7,[PLC1.Alarm_Table[1]],0,Bit Array Little-Endian,Bit 7,None,Read Only,,,No,Alarm_Table[1].7,A01.07,,Two-State,,,Two-State,Red on Black,Lime on Black,Disabled,Disabled,Disabled,Disabled,Default for Object,Default for Object
Alarm_Table_1_8,[PLC1.Alarm_Table[1]],0,Bit Array Little-Endian,Bit 8,None,Read Only,,,No,Alarm_Table[1].8,A01.08,,Two-State,,,Two-State,Red on Black,Lime on Black,Disabled,Disabled,Disabled,Disabled,Default for Object,Default for Object
Alarm_Table_1_9,[PLC1.Alarm_Table[1]],0,Bit Array Little-Endian,Bit 9,None,Read Only,,,No,Alarm_Table[1].9,A01.09,,Two-State,,,Two-State,Red on Black,Lime on Black,Disabled,Disabled,Disabled,Disabled,Default for Object,Default for Object
Alarm_Table_1_10,[PLC1.Alarm_Table[1]],0,Bit Array Little-Endian,Bit 10,None,Read Only,,,No,Alarm_Table[1].10,A01.10,,Two-State,,,Two-State,Red on Black,Lime on Black,Disabled,Disabled,Disabled,Disabled,Default for Object,Default for Object
Alarm_Table_1_11,[PLC1.Alarm_Table[1]],0,Bit Array Little-Endian,Bit 11,None,Read Only,,,No,Alarm_Table[1].11,A01.11,,Two-State,,,Two-State,Red on Black,Lime on Black,Disabled,Disabled,Disabled,Disabled,Default for Object,Default for Object
Alarm_Table_1_12,[PLC1.Alarm_Table[1]],0,Bit Array Little-Endian,Bit 12,None,Read Only,,,No,Alarm_Table[1].12,A01.12,,Two-State,,,Two-State,Red on Black,Lime on Black,Disabled,Disabled,Disabled,Disabled,Default for Object,Default for Object
Alarm_Table_1_13,[PLC1.Alarm_Table[1]],0,Bit Array Little-Endian,Bit 13,None,Read Only,,,No,Alarm_Table[1].13,A01.13,,Two-State,,,Two-State,Red on Black,Lime on Black,Disabled,Disabled,Disabled,Disabled,Default for Object,Default for Object
Alarm_Table_1_14,[PLC1.Alarm_Table[1]],0,Bit Array Little-Endian,Bit 14,None,Read Only,,,No,Alarm_Table[1].14,A01.14,,Two-State,,,Two-State,Red on Black,Lime on Black,Disabled,Disabled,Disabled,Disabled,Default for Object,Default for Object
Alarm_Table_1_15,[PLC1.Alarm_Table[1]],0,Bit Array Little-Endian,Bit 15,None,Read Only,,,No,Alarm_Table[1].15,A01.15,,Two-State,,,Two-State,Red on Black,Lime on Black,Disabled,Disabled,Disabled,Disabled,Default for Object,Default for Object
Alarm_Table_1_16,[PLC1.Alarm_Table[1]],0,Bit Array Little-Endian,Bit 16,None,Read Only,,,No,Alarm_Table[1].16,A01.16,,Two-State,,,Two-State,Red on Black,Lime on Black,Disabled,Disabled,Disabled,Disabled,Default for Object,Default for Object
Alarm_Table_1_17,[PLC1.Alarm_Table[1]],0,Bit Array Little-Endian,Bit 17,None,Read Only,,,No,Alarm_Table[1].17,A01.17,,Two-State,,,Two-State,Red on Black,Lime on Black,Disabled,Disabled,Disabled,Disabled,Default for Object,Default for Object
Alarm_Table_1_18,[PLC1.Alarm_Table[1]],0,Bit Array Little-Endian,Bit 18,None,Read Only,,,No,Alarm_Table[1].18,A01.18,,Two-State,,,Two-State,Red on Black,Lime on Black,Disabled,Disabled,Disabled,Disabled,Default for Object,Default for Object
Alarm_Table_1_19,[PLC1.Alarm_Table[1]],0,Bit Array Little-Endian,Bit 19,None,Read Only,,,No,Alarm_Table[1].19,A01.19,,Two-State,,,Two-State,Red on Black,Lime on Black,Disabled,Disabled,Disabled,Disabled,Default for Object,Default for Object
Alarm_Table_1_20,[PLC1.Alarm_Table[1]],0,Bit Array Little-Endian,Bit 20,None,Read Only,,,No,Alarm_Table[1].20,A01.20,,Two-State,,,Two-State,Red on Black,Lime on Black,Disabled,Disabled,Disabled,Disabled,Default for Object,Default for Object
Alarm_Table_1_21,[PLC1.Alarm_Table[1]],0,Bit Array Little-Endian,Bit 21,None,Read Only,,,No,Alarm_Table[1].21,A01.21,,Two-State,,,Two-State,Red on Black,Lime on Black,Disabled,Disabled,Disabled,Disabled,Default for Object,Default for Object
Alarm_Table_1_22,[PLC1.Alarm_Table[1]],0,Bit Array Little-Endian,Bit 22,None,Read Only,,,No,Alarm_Table[1].22,A01.22,,Two-State,,,Two-State,Red on Black,Lime on Black,Disabled,Disabled,Disabled,Disabled,Default for Object,Default for Object
Alarm_Table_1_23,[PLC1.Alarm_Table[1]],0,Bit Array Little-Endian,Bit 23,None,Read Only,,,No,Alarm_Table[1].23,A01.23,,Two-State,,,Two-State,Red on Black,Lime on Black,Disabled,Disabled,Disabled,Disabled,Default for Object,Default for Object
Alarm_Table_1_24,[PLC1.Alarm_Table[1]],0,Bit Array Little-Endian,Bit 24,None,Read Only,,,No,Alarm_Table[1].24,A01.24,,Two-State,,,Two-State,Red on Black,Lime on Black,Disabled,Disabled,Disabled,Disabled,Default for Object,Default for Object
Alarm_Table_1_25,[PLC1.Alarm_Table[1]],0,Bit Array Little-Endian,Bit 25,None,Read Only,,,No,Alarm_Table[1].25,A01.25,,Two-State,,,Two-State,Red on Black,Lime on Black,Disabled,Disabled,Disabled,Disabled,Default for Object,Default for Object
Alarm_Table_1_26,[PLC1.Alarm_Table[1]],0,Bit Array Little-Endian,Bit 26,None,Read Only,,,No,Alarm_Table[1].26,A01.26,,Two-State,,,Two-State,Red on Black,Lime on Black,Disabled,Disabled,Disabled,Disabled,Default for Object,Default for Object
Alarm_Table_1_27,[PLC1.Alarm_Table[1]],0,Bit Array Little-Endian,Bit 27,None,Read Only,,,No,Alarm_Table[1].27,A01.27,,Two-State,,,Two-State,Red on Black,Lime on Black,Disabled,Disabled,Disabled,Disabled,Default for Object,Default for Object
Alarm_Table_1_28,[PLC1.Alarm_Table[1]],0,Bit Array Little-Endian,Bit 28,None,Read Only,,,No,Alarm_Table[1].28,A01.28,,Two-State,,,Two-State,Red on Black,Lime on Black,Disabled,Disabled,Disabled,Disabled,Default for Object,Default for Object
Alarm_Table_1_29,[PLC1.Alarm_Table[1]],0,Bit Array Little-Endian,Bit 29,None,Read Only,,,No,Alarm_Table[1].29,A01.29,,Two-State,,,Two-State,Red on Black,Lime on Black,Disabled,Disabled,Disabled,Disabled,Default for Object,Default for Object
Alarm_Table_1_30,[PLC1.Alarm_Table[1]],0,Bit Array Little-Endian,Bit 30,None,Read Only,,,No,Alarm_Table[1].30,A01.30,,Two-State,,,Two-State,Red on Black,Lime on Black,Disabled,Disabled,Disabled,Disabled,Default for Object,Default for Object
Alarm_Table_1_31,[PLC1.Alarm_Table[1]],0,Bit Array Little-Endian,Bit 31,None,Read Only,,,No,Alarm_Table[1].31,A01.31,,Two-State,,,Two-State,Red on Black,Lime on Black,Disabled,Disabled,Disabled,Disabled,Default for Object,Default for Object
Alarm_Table_2_0,[PLC1.Alarm_Table[2]],0,Bit Array Little-Endian,Bit 0,None,Read Only,,,No,Alarm_Table[2].0,A02.00 Return Guide Sheave Heavy Side Alarm,,Two-State,,,Two-State,Red on Black,Lime on Black,Disabled,Disabled,Disabled,Disabled,Default for Object,Default for Object
Alarm_Table_2_1,[PLC1.Alarm_Table[2]],0,Bit Array Little-Endian,Bit 1,None,Read Only,,,No,Alarm_Table[2].1,A02.01 Tower 1 Heavy Side Alarm,,Two-State,,,Two-State,Red on Black,Lime on Black,Disabled,Disabled,Disabled,Disabled,Default for Object,Default for Object
Alarm_Table_2_2,[PLC1.Alarm_Table[2]],0,Bit Array Little-Endian,Bit 2,None,Read Only,,,No,Alarm_Table[2].2,A02.02 Tower 2 Heavy Side Alarm,,Two-State,,,Two-State,Red on Black,Lime on Black,Disabled,Disabled,Disabled,Disabled,Default for Object,Default for Object
Alarm_Table_2_3,[PLC1.Alarm_Table[2]],0,Bit Array Little-Endian,Bit 3,None,Read Only,,,No,Alarm_Table[2].3,A02.03 Tower 3 Heavy Side Alarm,,Two-State,,,Two-State,Red on Black,Lime on Black,Disabled,Disabled,Disabled,Disabled,Default for Object,Default for Object
Alarm_Table_2_4,[PLC1.Alarm_Table[2]],0,Bit Array Little-Endian,Bit 4,None,Read Only,,,No,Alarm_Table[2].4,A02.04 Tower 4 Heavy Side Alarm,,Two-State,,,Two-State,Red on Black,Lime on Black,Disabled,Disabled,Disabled,Disabled,Default for Object,Default for Object
Alarm_Table_2_5,[PLC1.Alarm_Table[2]],0,Bit Array Little-Endian,Bit 5,None,Read Only,,,No,Alarm_Table[2].5,A02.05 Tower 5 Heavy Side Alarm,,Two-State,,,Two-State,Red on Black,Lime on Black,Disabled,Disabled,Disabled,Disabled,Default for Object,Default for Object
Alarm_Table_2_6,[PLC1.Alarm_Table[2]],0,Bit Array Little-Endian,Bit 6,None,Read Only,,,No,Alarm_Table[2].6,A02.06 Tower 6 Heavy Side Alarm,,Two-State,,,Two-State,Red on Black,Lime on Black,Disabled,Disabled,Disabled,Disabled,Default for Object,Default for Object
Alarm_Table_2_7,[PLC1.Alarm_Table[2]],0,Bit Array Little-Endian,Bit 7,None,Read Only,,,No,Alarm_Table[2].7,A02.07 Tower 7 Heavy Side Alarm,,Two-State,,,Two-State,Red on Black,Lime on Black,Disabled,Disabled,Disabled,Disabled,Default for Object,Default for Object
Alarm_Table_2_8,[PLC1.Alarm_Table[2]],0,Bit Array Little-Endian,Bit 8,None,Read Only,,,No,Alarm_Table[2].8,A02.08 Tower 8 Heavy Side Alarm,,Two-State,,,Two-State,Red on Black,Lime on Black,Disabled,Disabled,Disabled,Disabled,Default for Object,Default for Object
Alarm_Table_2_9,[PLC1.Alarm_Table[2]],0,Bit Array Little-Endian,Bit 9,None,Read Only,,,No,Alarm_Table[2].9,A02.09 Tower 9 Heavy Side Alarm,,Two-State,,,Two-State,Red on Black,Lime on Black,Disabled,Disabled,Disabled,Disabled,Default for Object,Default for Object
Alarm_Table_2_10,[PLC1.Alarm_Table[2]],0,Bit Array Little-Endian,Bit 10,None,Read Only,,,No,Alarm_Table[2].10,A02.10 Tower 10 Heavy Side Alarm,,Two-State,,,Two-State,Red on Black,Lime on Black,Disabled,Disabled,Disabled,Disabled,Default for Object,Default for Object
Alarm_Table_2_11,[PLC1.Alarm_Table[2]],0,Bit Array Little-Endian,Bit 11,None,Read Only,,,No,Alarm_Table[2].11,A02.11 Tower 11 Heavy Side Alarm,,Two-State,,,Two-State,Red on Black,Lime on Black,Disabled,Disabled,Disabled,Disabled,Default for Object,Default for Object
Alarm_Table_2_12,[PLC1.Alarm_Table[2]],0,Bit Array Little-Endian,Bit 12,None,Read Only,,,No,Alarm_Table[2].12,A02.12 Tower 12 Heavy Side Alarm,,Two-State,,,Two-State,Red on Black,Lime on Black,Disabled,Disabled,Disabled,Disabled,Default for Object,Default for Object
Alarm_Table_2_13,[PLC1.Alarm_Table[2]],0,Bit Array Little-Endian,Bit 13,None,Read Only,,,No,Alarm_Table[2].13,A02.13 Tower 13 Heavy Side Alarm,,Two-State,,,Two-State,Red on Black,Lime on Black,Disabled,Disabled,Disabled,Disabled,Default for Object,Default for Object
Alarm_Table_2_14,[PLC1.Alarm_Table[2]],0,Bit Array Little-Endian,Bit 14,None,Read Only,,,No,Alarm_Table[2].14,A02.14 Tower 14 Heavy Side Alarm,,Two-State,,,Two-State,Red on Black,Lime on Black,Disabled,Disabled,Disabled,Disabled,Default for Object,Default for Object
Alarm_Table_2_15,[PLC1.Alarm_Table[2]],0,Bit Array Little-Endian,Bit 15,None,Read Only,,,No,Alarm_Table[2].15,A02.15 Tower 15 Heavy Side Alarm,,Two-State,,,Two-State,Red on Black,Lime on Black,Disabled,Disabled,Disabled,Disabled,Default for Object,Default for Object
Alarm_Table_2_16,[PLC1.Alarm_Table[2]],0,Bit Array Little-Endian,Bit 16,None,Read Only,,,No,Alarm_Table[2].16,A02.16 Tower 16 Heavy Side Alarm,,Two-State,,,Two-State,Red on Black,Lime on Black,Disabled,Disabled,Disabled,Disabled,Default for Object,Default for Object
Alarm_Table_2_17,[PLC1.Alarm_Table[2]],0,Bit Array Little-Endian,Bit 17,None,Read Only,,,No,Alarm_Table[2].17,A02.17 Tower 17 Heavy Side Alarm,,Two-State,,,Two-State,Red on Black,Lime on Black,Disabled,Disabled,Disabled,Disabled,Default for Object,Default for Object
Alarm_Table_2_18,[PLC1.Alarm_Table[2]],0,Bit Array Little-Endian,Bit 18,None,Read Only,,,No,Alarm_Table[2].18,A02.18 Tower 18 Heavy Side Alarm,,Two-State,,,Two-State,Red on Black,Lime on Black,Disabled,Disabled,Disabled,Disabled,Default for Object,Default for Object
Alarm_Table_2_19,[PLC1.Alarm_Table[2]],0,Bit Array Little-Endian,Bit 19,None,Read Only,,,No,Alarm_Table[2].19,A02.19 Tower 19 Heavy Side Alarm,,Two-State,,,Two-State,Red on Black,Lime on Black,Disabled,Disabled,Disabled,Disabled,Default for Object,Default for Object
Alarm_Table_2_20,[PLC1.Alarm_Table[2]],0,Bit Array Little-Endian,Bit 20,None,Read Only,,,No,Alarm_Table[2].20,A02.20 Tower 20 Heavy Side Alarm,,Two-State,,,Two-State,Red on Black,Lime on Black,Disabled,Disabled,Disabled,Disabled,Default for Object,Default for Object
Alarm_Table_2_21,[PLC1.Alarm_Table[2]],0,Bit Array Little-Endian,Bit 21,None,Read Only,,,No,Alarm_Table[2].21,A02.21 Drive Guide Sheave Heavy Side Alarm,,Two-State,,,Two-State,Red on Black,Lime on Black,Disabled,Disabled,Disabled,Disabled,Default for Object,Default for Object
Alarm_Table_2_22,[PLC1.Alarm_Table[2]],0,Bit Array Little-Endian,Bit 22,None,Read Only,,,No,Alarm_Table[2].22,A02.22,,Two-State,,,Two-State,Red on Black,Lime on Black,Disabled,Disabled,Disabled,Disabled,Default for Object,Default for Object
Alarm_Table_2_23,[PLC1.Alarm_Table[2]],0,Bit Array Little-Endian,Bit 23,None,Read Only,,,No,Alarm_Table[2].23,A02.23,,Two-State,,,Two-State,Red on Black,Lime on Black,Disabled,Disabled,Disabled,Disabled,Default for Object,Default for Object
Alarm_Table_2_24,[PLC1.Alarm_Table[2]],0,Bit Array Little-Endian,Bit 24,None,Read Only,,,No,Alarm_Table[2].24,A02.24,,Two-State,,,Two-State,Red on Black,Lime on Black,Disabled,Disabled,Disabled,Disabled,Default for Object,Default for Object
Alarm_Table_2_25,[PLC1.Alarm_Table[2]],0,Bit Array Little-Endian,Bit 25,None,Read Only,,,No,Alarm_Table[2].25,A02.25,,Two-State,,,Two-State,Red on Black,Lime on Black,Disabled,Disabled,Disabled,Disabled,Default for Object,Default for Object
Alarm_Table_2_26,[PLC1.Alarm_Table[2]],0,Bit Array Little-Endian,Bit 26,None,Read Only,,,No,Alarm_Table[2].26,A02.26,,Two-State,,,Two-State,Red on Black,Lime on Black,Disabled,Disabled,Disabled,Disabled,Default for Object,Default for Object
Alarm_Table_2_27,[PLC1.Alarm_Table[2]],0,Bit Array Little-Endian,Bit 27,None,Read Only,,,No,Alarm_Table[2].27,A02.27,,Two-State,,,Two-State,Red on Black,Lime on Black,Disabled,Disabled,Disabled,Disabled,Default for Object,Default for Object
Alarm_Table_2_28,[PLC1.Alarm_Table[2]],0,Bit Array Little-Endian,Bit 28,None,Read Only,,,No,Alarm_Table[2].28,A02.28,,Two-State,,,Two-State,Red on Black,Lime on Black,Disabled,Disabled,Disabled,Disabled,Default for Object,Default for Object
Alarm_Table_2_29,[PLC1.Alarm_Table[2]],0,Bit Array Little-Endian,Bit 29,None,Read Only,,,No,Alarm_Table[2].29,A02.29,,Two-State,,,Two-State,Red on Black,Lime on Black,Disabled,Disabled,Disabled,Disabled,Default for Object,Default for Object
Alarm_Table_2_30,[PLC1.Alarm_Table[2]],0,Bit Array Little-Endian,Bit 30,None,Read Only,,,No,Alarm_Table[2].30,A02.30,,Two-State,,,Two-State,Red on Black,Lime on Black,Disabled,Disabled,Disabled,Disabled,Default for Object,Default for Object
Alarm_Table_2_31,[PLC1.Alarm_Table[2]],0,Bit Array Little-Endian,Bit 31,None,Read Only,,,No,Alarm_Table[2].31,A02.31,,Two-State,,,Two-State,Red on Black,Lime on Black,Disabled,Disabled,Disabled,Disabled,Default for Object,Default for Object
